datetime,symbol,open,high,low,close,volume,atr
2026-04-11 00:40:00,NASDAQ:AAPL,259.68,259.79,259.68,259.74,4274.0,
2026-04-11 00:41:00,NASDAQ:AAPL,259.75,259.75,259.71,259.71,2591.0,
2026-04-11 00:42:00,NASDAQ:AAPL,259.71,259.78,259.705,259.74,3587.0,
2026-04-11 00:43:00,NASDAQ:AAPL,259.74,259.8,259.69,259.79,2767.0,
2026-04-11 00:44:00,NASDAQ:AAPL,259.785,260.02,259.78,259.87,10669.0,
2026-04-11 00:45:00,NASDAQ:AAPL,259.89,259.89,259.75,259.8,2485.0,
2026-04-11 00:46:00,NASDAQ:AAPL,259.79,259.79,259.71,259.75,4850.0,
2026-04-11 00:47:00,NASDAQ:AAPL,259.76,259.77,259.65,259.67,2303.0,
2026-04-11 00:48:00,NASDAQ:AAPL,259.7,259.75,259.65,259.65,3119.0,
2026-04-11 00:49:00,NASDAQ:AAPL,259.65,259.68,259.58,259.61,3412.0,
2026-04-11 00:50:00,NASDAQ:AAPL,259.63,259.67,259.55,259.55,3033.0,
2026-04-11 00:51:00,NASDAQ:AAPL,259.54,259.585,259.47,259.575,4312.0,
2026-04-11 00:52:00,NASDAQ:AAPL,259.57,259.57,259.49,259.53,8453.0,
2026-04-11 00:53:00,NASDAQ:AAPL,259.52,259.56,259.45,259.54,9930.0,0.11107142857143312
2026-04-11 00:54:00,NASDAQ:AAPL,259.53,259.54,259.46,259.52,6352.0,0.10892857142857792
2026-04-11 00:55:00,NASDAQ:AAPL,259.49,259.5,259.41,259.48,3351.0,0.11392857142857338
2026-04-11 00:56:00,NASDAQ:AAPL,259.47,259.47,259.36,259.41,5967.0,0.11714285714286023
2026-04-11 00:57:00,NASDAQ:AAPL,259.42,259.51,259.39,259.51,8375.0,0.1178571428571453
2026-04-11 00:58:00,NASDAQ:AAPL,259.51,259.6,259.51,259.57,6243.0,0.1071428571428612
2026-04-11 00:59:00,NASDAQ:AAPL,259.56,259.73,259.56,259.72,5401.0,0.10928571428572045
2026-04-11 01:00:00,NASDAQ:AAPL,259.725,259.76,259.55,259.55,11990.0,0.1178571428571453
2026-04-11 01:01:00,NASDAQ:AAPL,259.56,259.59,259.49,259.49,2275.0,0.1164285714285711
2026-04-11 01:02:00,NASDAQ:AAPL,259.48,259.575,259.48,259.54,4497.0,0.11607142857142451
2026-04-11 01:03:00,NASDAQ:AAPL,259.54,259.6,259.505,259.54,4303.0,0.11571428571428198
2026-04-11 01:04:00,NASDAQ:AAPL,259.53,259.55,259.48,259.5,6777.0,0.11214285714285259
2026-04-11 01:05:00,NASDAQ:AAPL,259.49,259.49,259.33,259.39,7330.0,0.11607142857142858
2026-04-11 01:06:00,NASDAQ:AAPL,259.4,259.54,259.4,259.53,8017.0,0.12071428571428962
2026-04-11 01:07:00,NASDAQ:AAPL,259.52,259.54,259.44,259.45,6485.0,0.12000000000000455
2026-04-11 01:08:00,NASDAQ:AAPL,259.44,259.48,259.29,259.475,8212.0,0.1278571428571443
2026-04-11 01:09:00,NASDAQ:AAPL,259.48,259.54,259.45,259.5,6519.0,0.12642857142857825
2026-04-11 01:10:00,NASDAQ:AAPL,259.51,259.53,259.35,259.37,6603.0,0.13071428571428864
2026-04-11 01:11:00,NASDAQ:AAPL,259.37,259.55,259.34,259.53,4634.0,0.13714285714286234
2026-04-11 01:12:00,NASDAQ:AAPL,259.54,259.64,259.54,259.59,9120.0,0.13857142857143248
2026-04-11 01:13:00,NASDAQ:AAPL,259.59,259.59,259.5,259.5,7132.0,0.13285714285714384
2026-04-11 01:14:00,NASDAQ:AAPL,259.51,259.68,259.51,259.65,5871.0,0.13071428571428864
2026-04-11 01:15:00,NASDAQ:AAPL,259.63,259.8,259.62,259.8,9314.0,0.13642857142857728
2026-04-11 01:16:00,NASDAQ:AAPL,259.81,259.82,259.68,259.7,7260.0,0.13964285714286412
2026-04-11 01:17:00,NASDAQ:AAPL,259.69,259.76,259.68,259.71,4669.0,0.13857142857143248
2026-04-11 01:18:00,NASDAQ:AAPL,259.69,259.69,259.63,259.64,4015.0,0.13928571428571754
2026-04-11 01:19:00,NASDAQ:AAPL,259.65,259.705,259.58,259.65,5572.0,0.13607142857143067
2026-04-11 01:20:00,NASDAQ:AAPL,259.6,260.03,259.53,259.96,33170.0,0.16107142857142825
2026-04-11 01:21:00,NASDAQ:AAPL,259.97,259.98,259.78,259.85,10982.0,0.168214285714287
2026-04-11 01:22:00,NASDAQ:AAPL,259.85,259.9,259.78,259.825,12177.0,0.1632142857142875
2026-04-11 01:23:00,NASDAQ:AAPL,259.83,259.89,259.8,259.88,10632.0,0.16321428571428345
2026-04-11 01:24:00,NASDAQ:AAPL,259.88,260.08,259.86,260.01,17032.0,0.16607142857142776
2026-04-11 01:25:00,NASDAQ:AAPL,260.02,260.28,260.02,260.25,19141.0,0.17035714285713816
2026-04-11 01:26:00,NASDAQ:AAPL,260.26,260.28,260.11,260.23,21110.0,0.17464285714284852
2026-04-11 01:27:00,NASDAQ:AAPL,260.23,260.35,260.201,260.32,19392.0,0.1788571428571361
2026-04-11 01:28:00,NASDAQ:AAPL,260.33,260.5,260.305,260.47,36990.0,0.1799285714285637
2026-04-11 01:29:00,NASDAQ:AAPL,260.47,260.54,260.34,260.42,50203.0,0.1813571428571379
